Transaction ID,Customer ID,Transaction Date,Transaction Type,Amount (KES),Customer Age,Customer Segment,Account Balance (KES),Branch Location,Transaction Channel
TXN10260,CUST5568,1/21/2023,Bill Payment,80212.25,62,Corporate,405626.07,Kisumu,Bank Teller
TXN10261,CUST5975,1/25/2023,Loan Payment,62639.39,31,SME,289988.07,Kisumu,Mobile Banking
TXN10262,CUST1427,9/20/2023,Loan Payment,5987.26,19,SME,302236.32,Mombasa,Mobile Banking
TXN10263,CUST9153,2/23/2023,Withdrawal,5991.68,47,SME,490470.93,Kisumu,Online
TXN10264,CUST6230,4/22/2023,Loan Payment,8860.18,43,Retail,98258.6,Nakuru,ATM
TXN10265,CUST4224,1/14/2023,Loan Payment,46997.74,25,Corporate,415937.16,Mombasa,Online
TXN10266,CUST1875,9/26/2023,Bill Payment,60332.44,48,SME,318884.46,Kisumu,Online
TXN10267,CUST5576,7/12/2023,Withdrawal,54628.87,70,Corporate,212815.31,Nakuru,Mobile Banking
TXN10268,CUST1036,3/21/2023,Deposit,11646.93,34,SME,422036.48,Nakuru,ATM
TXN10269,CUST1888,12/23/2023,Loan Payment,86177.31,62,Retail,456604.02,Nairobi,Mobile Banking
TXN10270,CUST4938,3/6/2023,Withdrawal,81221.99,30,Corporate,61136.81,Eldoret,Mobile Banking
TXN10271,CUST4687,11/13/2023,Fund Transfer,13038.9,19,Corporate,85566.62,Mombasa,ATM
TXN10272,CUST4472,5/30/2023,Loan Payment,29716.38,39,Retail,25672.11,Eldoret,Bank Teller
TXN10273,CUST5200,1/12/2023,Bill Payment,22889.41,20,SME,63404.7,Nakuru,Online
TXN10274,CUST6612,2/25/2023,Loan Payment,42958.76,45,Corporate,253867.1,Nairobi,Online
TXN10275,CUST8511,10/30/2023,Fund Transfer,97125.17,37,Corporate,394038.88,Kisumu,ATM
TXN10276,CUST5329,9/12/2023,Bill Payment,8025.36,45,Retail,44657.28,Eldoret,Bank Teller
TXN10277,CUST5633,7/13/2023,Loan Payment,21388.4,25,Retail,99857.58,Nakuru,Bank Teller
TXN10278,CUST5950,12/30/2023,Withdrawal,11173.01,32,SME,438372.21,Nairobi,Mobile Banking
TXN10279,CUST2603,7/5/2023,Deposit,65555.5,54,SME,472454.46,Eldoret,Online
TXN10280,CUST5688,10/21/2023,Bill Payment,72975.3,27,SME,71363.32,Mombasa,Online
TXN10281,CUST8996,6/13/2023,Loan Payment,24984.26,29,Retail,123208.6,Kisumu,ATM
TXN10282,CUST3434,6/10/2023,Loan Payment,64524.9,36,Retail,365262.58,Mombasa,ATM
TXN10283,CUST8699,6/9/2023,Fund Transfer,50915.62,43,SME,124638.05,Mombasa,Online
TXN10284,CUST9755,4/27/2023,Bill Payment,78343.14,34,SME,285976.64,Nairobi,Online
TXN10285,CUST6224,11/12/2023,Bill Payment,44394.1,62,SME,293268.42,Nakuru,Online
TXN10286,CUST1808,11/16/2023,Fund Transfer,79032.24,19,Corporate,175992.51,Mombasa,Bank Teller
TXN10287,CUST7768,9/3/2023,Deposit,67899.82,62,SME,458796.64,Kisumu,Online
TXN10288,CUST1054,1/23/2023,Loan Payment,94370.89,37,SME,263773.39,Eldoret,Online
TXN10289,CUST9711,5/29/2023,Fund Transfer,12039.82,47,Corporate,65976.22,Nakuru,ATM
TXN10290,CUST7941,10/2/2023,Bill Payment,98385.76,50,SME,157205.63,Nairobi,ATM
TXN10291,CUST5094,5/16/2023,Bill Payment,36529.89,47,Corporate,440723.8,Nakuru,ATM
TXN10292,CUST3778,1/2/2023,Deposit,20611.78,30,Retail,243551.82,Mombasa,Online
TXN10293,CUST9444,1/22/2023,Deposit,68809.75,63,Retail,478154.14,Nakuru,ATM
TXN10294,CUST2598,8/18/2023,Deposit,64677.99,25,Corporate,202381.05,Nairobi,Bank Teller
TXN10295,CUST7670,12/28/2023,Fund Transfer,53431.98,52,Corporate,142090,Nakuru,Bank Teller
TXN10296,CUST3791,1/20/2023,Loan Payment,88446.18,30,SME,137484.95,Nairobi,Mobile Banking
TXN10297,CUST3168,12/31/2023,Fund Transfer,85887.95,54,SME,423546.03,Eldoret,Online
TXN10298,CUST3584,2/18/2023,Deposit,16615.27,41,Corporate,84509.44,Mombasa,Bank Teller
TXN10299,CUST2333,12/28/2023,Loan Payment,9241.14,26,Corporate,161343.26,Nakuru,Online
TXN10300,CUST2084,11/19/2023,Deposit,8850.65,43,SME,206847.77,Eldoret,Bank Teller
TXN10301,CUST6906,9/3/2023,Loan Payment,17528.97,22,Corporate,419593.73,Mombasa,Bank Teller
TXN10302,CUST9009,3/29/2023,Loan Payment,61379.07,22,SME,67410.73,Nairobi,ATM
TXN10303,CUST3634,6/10/2023,Loan Payment,10085.91,47,Retail,304087.36,Eldoret,ATM
TXN10304,CUST3878,10/17/2023,Fund Transfer,15407.54,24,SME,425864.69,Kisumu,Bank Teller
TXN10305,CUST2981,12/23/2023,Fund Transfer,99533.04,37,Corporate,414381.3,Nairobi,Online
TXN10306,CUST2202,11/2/2023,Withdrawal,57133.93,55,Corporate,427744.57,Mombasa,Online
TXN10307,CUST3732,3/15/2023,Loan Payment,13256.55,34,Retail,399244.97,Nakuru,Online
TXN10308,CUST8181,10/31/2023,Fund Transfer,17504.01,66,Corporate,103571.22,Nakuru,ATM
TXN10309,CUST3892,10/2/2023,Bill Payment,9474.67,26,SME,106272.79,Kisumu,Bank Teller
TXN10310,CUST9720,9/3/2023,Fund Transfer,86728.04,36,Retail,387365.5,Mombasa,Online
TXN10311,CUST5533,11/27/2023,Withdrawal,32111.89,38,Corporate,488347.28,Nakuru,Mobile Banking
TXN10312,CUST7039,3/6/2023,Withdrawal,1157.07,50,Retail,456051.28,Kisumu,Bank Teller
TXN10313,CUST5198,7/22/2023,Deposit,12588.55,52,Corporate,259186.59,Kisumu,Bank Teller
TXN10314,CUST2715,9/14/2023,Withdrawal,40385.19,51,Retail,256189.43,Eldoret,ATM
TXN10315,CUST5007,11/26/2023,Deposit,95447.45,35,Corporate,415718.5,Eldoret,Online
TXN10316,CUST2320,10/5/2023,Deposit,12542.25,46,Corporate,383476.8,Eldoret,Online
TXN10317,CUST3467,3/9/2023,Bill Payment,8972.52,59,SME,157111.56,Kisumu,Online
TXN10318,CUST2901,6/26/2023,Fund Transfer,47261.14,24,Corporate,264988,Eldoret,ATM
TXN10319,CUST8450,1/27/2023,Loan Payment,41268.54,47,Corporate,336578.93,Mombasa,Mobile Banking
TXN10320,CUST6308,9/8/2023,Loan Payment,79797.95,70,SME,120276.1,Eldoret,Online
TXN10321,CUST4268,7/23/2023,Loan Payment,79411.58,39,Retail,489286.16,Nakuru,ATM
TXN10322,CUST1113,3/4/2023,Bill Payment,30980.03,57,Retail,207364.65,Nairobi,ATM
TXN10323,CUST1573,6/17/2023,Withdrawal,98163.96,55,SME,258561.45,Kisumu,Online
TXN10324,CUST5135,6/26/2023,Deposit,48926.99,51,SME,358001.49,Kisumu,Bank Teller
TXN10325,CUST8532,2/9/2023,Withdrawal,86389.56,25,Retail,378830.82,Nairobi,Mobile Banking
TXN10326,CUST3990,1/24/2023,Loan Payment,59364.31,33,SME,95258.05,Nakuru,Mobile Banking
TXN10327,CUST4343,12/25/2023,Loan Payment,40681.71,58,Corporate,450324.88,Kisumu,ATM
TXN10328,CUST4951,4/25/2023,Fund Transfer,18972.73,51,SME,292835.09,Nakuru,Online
TXN10329,CUST9165,2/11/2023,Fund Transfer,56974.89,21,Retail,173318.8,Eldoret,Bank Teller
TXN10330,CUST7996,4/11/2023,Loan Payment,54037.19,35,SME,51881.41,Nakuru,Mobile Banking
TXN10331,CUST5947,3/29/2023,Deposit,70832.23,69,SME,13030.34,Eldoret,Online
TXN10332,CUST7385,3/19/2023,Deposit,31211.09,58,Corporate,318927.55,Nairobi,ATM
TXN10333,CUST5636,9/4/2023,Fund Transfer,32675.9,70,SME,209561.46,Nairobi,ATM
TXN10334,CUST7674,10/31/2023,Withdrawal,22492.88,36,SME,303224.38,Eldoret,ATM
TXN10335,CUST6564,3/10/2023,Bill Payment,18225.97,25,Retail,212904.11,Nakuru,Online
TXN10336,CUST5392,6/6/2023,Withdrawal,67769.37,32,Corporate,188312.22,Nakuru,ATM
TXN10337,CUST7602,5/16/2023,Loan Payment,43040.95,42,SME,430397.42,Kisumu,ATM
TXN10338,CUST4430,12/28/2023,Bill Payment,34817.85,34,Retail,92011.93,Eldoret,Bank Teller
TXN10339,CUST1126,7/27/2023,Bill Payment,49426.97,53,SME,258952.8,Nakuru,Online
TXN10340,CUST7916,10/24/2023,Withdrawal,15453.12,20,Corporate,153187.75,Kisumu,Online
TXN10341,CUST7616,12/3/2023,Fund Transfer,78818.3,39,Corporate,262535.71,Kisumu,Online
TXN10342,CUST6413,4/24/2023,Fund Transfer,11499.26,43,SME,30525.06,Nairobi,Online
TXN10343,CUST6843,3/25/2023,Fund Transfer,58468.58,27,Retail,171305.2,Eldoret,Bank Teller
TXN10344,CUST5204,2/28/2023,Withdrawal,76409.7,70,Corporate,75531.38,Mombasa,Online
TXN10345,CUST8569,3/12/2023,Withdrawal,89154.31,43,SME,388678.87,Nairobi,ATM
TXN10346,CUST2083,9/19/2023,Fund Transfer,3679.51,63,Retail,306295.72,Nakuru,ATM
TXN10347,CUST3767,9/12/2023,Bill Payment,80667.94,26,Corporate,468289.58,Mombasa,Mobile Banking
TXN10348,CUST5986,9/12/2023,Bill Payment,78494.38,26,Retail,329352.78,Kisumu,Online
TXN10349,CUST1555,7/11/2023,Withdrawal,95443.76,43,Corporate,379214.42,Mombasa,Online
TXN10350,CUST8348,7/16/2023,Withdrawal,18265.68,43,Corporate,216224.54,Nakuru,Mobile Banking
TXN10351,CUST1813,8/31/2023,Withdrawal,75793.13,52,Retail,493841.95,Nakuru,Bank Teller
TXN10352,CUST7492,4/26/2023,Loan Payment,48043.74,35,SME,398048.67,Eldoret,Mobile Banking
TXN10353,CUST3842,5/16/2023,Loan Payment,826.41,62,Corporate,203206.18,Mombasa,ATM
TXN10354,CUST2988,1/1/2023,Loan Payment,15843.21,50,Retail,204333.95,Nairobi,ATM
TXN10355,CUST4324,5/8/2023,Deposit,19284.3,65,Corporate,299477.49,Nairobi,ATM
TXN10356,CUST7276,11/16/2023,Loan Payment,68841.44,47,SME,418654.28,Nakuru,Online
TXN10357,CUST1975,6/10/2023,Bill Payment,3713.5,21,SME,306573.83,Mombasa,Online
TXN10358,CUST8284,6/13/2023,Fund Transfer,59636.46,37,SME,129712.65,Nakuru,Online
TXN10359,CUST6147,2/6/2023,Fund Transfer,15691.83,23,SME,206425.57,Mombasa,Mobile Banking
TXN10360,CUST6080,10/14/2023,Loan Payment,93937.94,65,SME,191257.23,Nairobi,Online
TXN10361,CUST4224,4/11/2023,Loan Payment,80032.12,66,Corporate,96892.78,Mombasa,Online
TXN10362,CUST4088,11/6/2023,Bill Payment,83019.06,38,SME,467814.53,Eldoret,Mobile Banking
TXN10363,CUST2425,7/30/2023,Loan Payment,81847.17,67,Corporate,117347.16,Kisumu,Mobile Banking
TXN10364,CUST8338,10/30/2023,Loan Payment,36788.8,24,SME,297089.21,Mombasa,ATM
TXN10365,CUST3468,3/16/2023,Withdrawal,61927.26,18,SME,175925.89,Kisumu,Online
TXN10366,CUST2624,8/11/2023,Withdrawal,78540.08,34,Corporate,155517.36,Nairobi,Online
TXN10367,CUST8228,5/7/2023,Withdrawal,44052.67,18,Retail,214260.52,Nairobi,ATM
TXN10368,CUST3418,8/4/2023,Withdrawal,30562.04,19,SME,340388.7,Kisumu,Mobile Banking
TXN10369,CUST3596,1/5/2023,Withdrawal,53340.45,55,Corporate,490022.81,Eldoret,ATM
TXN10370,CUST7050,8/1/2023,Bill Payment,2714.27,25,SME,89490.47,Kisumu,ATM
TXN10371,CUST5976,3/20/2023,Deposit,8596.28,27,Retail,150438.53,Nakuru,ATM
TXN10372,CUST6270,8/13/2023,Bill Payment,49773.2,53,SME,136661.07,Kisumu,Mobile Banking
TXN10373,CUST4936,6/16/2023,Loan Payment,88888.15,29,Retail,352646.85,Nakuru,ATM
TXN10374,CUST3439,9/9/2023,Loan Payment,67659.6,42,Retail,479753.09,Kisumu,Bank Teller
TXN10375,CUST9447,10/19/2023,Loan Payment,48771.3,56,SME,489930.29,Mombasa,Bank Teller
TXN10376,CUST9496,9/15/2023,Fund Transfer,83656.69,19,Retail,364473.97,Eldoret,ATM
TXN10377,CUST7399,1/4/2023,Fund Transfer,1235.95,46,SME,404910.66,Eldoret,Bank Teller
TXN10378,CUST8634,8/28/2023,Loan Payment,37723.64,20,Corporate,459130.75,Kisumu,Online
TXN10379,CUST4404,2/22/2023,Loan Payment,85546.08,46,Retail,212385.65,Eldoret,Online
TXN10380,CUST6102,1/13/2023,Deposit,73964.69,57,SME,281394.19,Mombasa,Mobile Banking
TXN10381,CUST2892,3/7/2023,Bill Payment,53633.29,48,Retail,415696.8,Nakuru,Mobile Banking
TXN10382,CUST7110,2/22/2023,Bill Payment,30189.22,44,Corporate,213962.14,Mombasa,Mobile Banking
TXN10383,CUST5338,11/23/2023,Fund Transfer,56931.12,67,SME,428518.47,Eldoret,ATM
TXN10384,CUST4343,9/26/2023,Bill Payment,66968.28,64,SME,315862.98,Eldoret,Online
TXN10385,CUST7763,11/2/2023,Bill Payment,28681.19,39,Corporate,104935.4,Nakuru,Online
TXN10386,CUST4771,7/12/2023,Bill Payment,30411.23,43,Corporate,259373.73,Kisumu,Online
TXN10387,CUST7036,5/19/2023,Bill Payment,11321.47,24,Retail,480796.38,Kisumu,Online
TXN10388,CUST6306,9/22/2023,Deposit,79310.94,22,SME,191163.84,Kisumu,Bank Teller
TXN10389,CUST6971,11/26/2023,Fund Transfer,92944.93,24,Corporate,6941.96,Nairobi,Online
TXN10390,CUST1076,7/30/2023,Loan Payment,71174.05,39,Corporate,177729.41,Kisumu,Mobile Banking
TXN10391,CUST1905,10/20/2023,Withdrawal,23250.06,23,SME,453229.55,Mombasa,Bank Teller
TXN10392,CUST9160,1/17/2023,Fund Transfer,2082.99,60,Corporate,51399.27,Mombasa,Bank Teller
TXN10393,CUST5410,1/1/2024,Withdrawal,48821.92,21,Retail,421752.09,Eldoret,Mobile Banking
TXN10394,CUST4481,2/25/2023,Fund Transfer,74692.08,38,SME,473485.21,Kisumu,Online
TXN10395,CUST7656,5/22/2023,Deposit,11287.31,47,SME,118236.58,Mombasa,ATM
TXN10396,CUST1712,5/18/2023,Withdrawal,99952.47,69,SME,37227.72,Nakuru,Bank Teller
TXN10397,CUST8911,9/23/2023,Fund Transfer,1690.82,23,Corporate,299023.98,Kisumu,ATM
TXN10398,CUST2583,1/4/2023,Bill Payment,33437.74,27,Retail,211821.74,Mombasa,Online
TXN10399,CUST4473,5/16/2023,Withdrawal,1319.42,36,Corporate,28533.21,Mombasa,ATM
TXN10400,CUST6953,11/6/2023,Withdrawal,27316.74,43,Retail,85342.82,Kisumu,Online
TXN10401,CUST5608,9/3/2023,Withdrawal,94328.08,28,Retail,59752.18,Eldoret,ATM
TXN10402,CUST4875,8/29/2023,Bill Payment,17166.79,47,SME,10162.24,Nairobi,Mobile Banking
TXN10403,CUST5563,8/11/2023,Bill Payment,97481.82,42,Corporate,273478.02,Eldoret,Online
TXN10404,CUST2662,10/21/2023,Loan Payment,95293.78,53,SME,323157.36,Mombasa,Bank Teller
TXN10405,CUST4042,3/18/2023,Bill Payment,49549.56,34,Retail,452038.1,Eldoret,Bank Teller
TXN10406,CUST8074,6/15/2023,Deposit,60297.29,46,Retail,262680.45,Nairobi,Mobile Banking
TXN10407,CUST2128,10/7/2023,Loan Payment,73727.95,32,Corporate,325355.93,Nakuru,Mobile Banking
TXN10408,CUST4729,10/16/2023,Deposit,26042.81,60,SME,50658.69,Eldoret,Bank Teller
TXN10409,CUST3091,6/2/2023,Fund Transfer,8844.84,66,Corporate,17938.23,Nakuru,Mobile Banking
TXN10410,CUST4369,3/24/2023,Bill Payment,29406.35,41,Corporate,61397.66,Nairobi,Bank Teller
TXN10411,CUST7177,10/12/2023,Deposit,39171.65,43,SME,99975.82,Nakuru,Online
TXN10412,CUST8204,12/30/2023,Withdrawal,30047.82,48,Corporate,14574.09,Nairobi,Mobile Banking
TXN10413,CUST3941,8/25/2023,Deposit,94871.45,68,Corporate,285715.02,Kisumu,Online
TXN10414,CUST8318,4/16/2023,Fund Transfer,15037.86,39,Corporate,277717.14,Nairobi,Online
TXN10415,CUST5433,10/31/2023,Withdrawal,95087.18,62,Retail,233269.31,Kisumu,Online
TXN10416,CUST1581,12/25/2023,Fund Transfer,10950.83,66,Corporate,450641.51,Kisumu,ATM
TXN10417,CUST1763,3/10/2023,Withdrawal,59842.74,41,Retail,2938.19,Nakuru,ATM
TXN10418,CUST6861,11/25/2023,Deposit,38460.98,63,Corporate,85287.59,Kisumu,ATM
TXN10419,CUST2279,2/12/2023,Withdrawal,17022.94,31,SME,148279.22,Kisumu,Bank Teller
TXN10420,CUST6790,7/1/2023,Fund Transfer,635.68,32,Retail,458795.32,Eldoret,Online
TXN10421,CUST5826,12/23/2023,Fund Transfer,58827.52,29,Retail,27948.14,Nairobi,Bank Teller
TXN10422,CUST3864,5/9/2023,Deposit,41894.3,57,Retail,430631.83,Nakuru,Mobile Banking
TXN10423,CUST2952,5/23/2023,Fund Transfer,99104.72,52,SME,307786.12,Kisumu,ATM
TXN10424,CUST8159,2/8/2023,Fund Transfer,37345.57,43,SME,373492.93,Nakuru,Mobile Banking
TXN10425,CUST7852,3/23/2023,Loan Payment,55038.76,47,Retail,306408.54,Nakuru,ATM
TXN10426,CUST3298,10/8/2023,Deposit,42251.72,68,SME,80411.7,Mombasa,Bank Teller
TXN10427,CUST8044,9/17/2023,Deposit,14105.54,41,SME,95378.34,Kisumu,Online
TXN10428,CUST8636,10/23/2023,Loan Payment,21548.8,69,Corporate,129500.93,Nairobi,Mobile Banking
TXN10429,CUST7882,3/31/2023,Withdrawal,47440.44,64,Retail,304730.91,Kisumu,Online
TXN10430,CUST8624,4/14/2023,Fund Transfer,23418.64,36,SME,350452.19,Nairobi,Bank Teller
TXN10431,CUST1291,6/19/2023,Fund Transfer,74559.61,40,Corporate,302847.93,Nairobi,ATM
TXN10432,CUST7261,9/21/2023,Fund Transfer,36874.68,66,Retail,369491.28,Nakuru,Mobile Banking
TXN10433,CUST4010,12/17/2023,Withdrawal,30643.43,23,Corporate,34112.06,Nakuru,ATM
TXN10434,CUST7032,5/30/2023,Withdrawal,35397.97,38,SME,339633.02,Kisumu,ATM
TXN10435,CUST9815,8/20/2023,Bill Payment,18018.33,53,Retail,227126.39,Nairobi,Mobile Banking
TXN10436,CUST2026,8/18/2023,Bill Payment,25260.75,30,SME,457564.68,Mombasa,ATM
TXN10437,CUST7728,9/16/2023,Deposit,88033.67,35,Corporate,351599.58,Nakuru,Mobile Banking
TXN10438,CUST3846,4/24/2023,Deposit,61846.26,60,Retail,444582.38,Eldoret,Mobile Banking
TXN10439,CUST9479,12/9/2023,Deposit,90672.12,29,SME,26480.26,Eldoret,ATM
TXN10440,CUST9501,2/6/2023,Bill Payment,88629.45,68,Corporate,486944.16,Mombasa,ATM
TXN10441,CUST9310,11/12/2023,Fund Transfer,23184.52,69,SME,424288.81,Nairobi,ATM
TXN10442,CUST2564,10/31/2023,Bill Payment,53992.89,46,Retail,446872.4,Mombasa,ATM
TXN10443,CUST1050,2/9/2023,Deposit,64105.26,59,SME,417951.55,Kisumu,Mobile Banking
TXN10444,CUST9212,6/30/2023,Bill Payment,84910,51,SME,58984.29,Mombasa,Mobile Banking
TXN10445,CUST3196,12/10/2023,Bill Payment,28319.98,62,SME,268130.36,Nakuru,Online
TXN10446,CUST1353,12/16/2023,Fund Transfer,70674.07,39,Corporate,415092.61,Nakuru,Bank Teller
TXN10447,CUST7358,10/18/2023,Bill Payment,66566.38,41,Retail,55181.76,Nairobi,Bank Teller
TXN10448,CUST2442,2/24/2023,Fund Transfer,16107.82,37,Retail,266376.01,Mombasa,ATM
TXN10449,CUST6335,11/2/2023,Fund Transfer,96277.19,58,Corporate,264851.36,Nairobi,Online
TXN10450,CUST5106,9/22/2023,Loan Payment,80977.29,26,Retail,49819.05,Kisumu,Bank Teller
TXN10451,CUST8286,5/23/2023,Withdrawal,28834.07,37,SME,224599.53,Kisumu,ATM
TXN10452,CUST7290,2/24/2023,Withdrawal,11191.06,37,SME,363488.81,Nairobi,Bank Teller
TXN10453,CUST4231,4/5/2023,Bill Payment,47070.29,25,Retail,208192.5,Nakuru,Mobile Banking
TXN10454,CUST6222,12/25/2023,Fund Transfer,52518.2,37,Retail,122866.14,Kisumu,ATM
TXN10455,CUST2160,10/1/2023,Deposit,67630.98,38,Corporate,435884.58,Nakuru,Mobile Banking
TXN10456,CUST2974,4/23/2023,Fund Transfer,4291.05,70,SME,134218.05,Mombasa,Bank Teller
TXN10457,CUST7829,1/1/2024,Loan Payment,1417.13,39,Corporate,279200.39,Nakuru,Bank Teller
TXN10458,CUST2033,6/24/2023,Loan Payment,80311.62,30,Corporate,133864.91,Kisumu,Online
TXN10459,CUST6320,4/28/2023,Deposit,17284.45,59,Corporate,387242.58,Eldoret,ATM
TXN10460,CUST5011,10/20/2023,Deposit,25358.68,59,Corporate,238918.98,Mombasa,Online
TXN10461,CUST8784,4/23/2023,Bill Payment,93719.22,62,SME,480852.83,Mombasa,Bank Teller
TXN10462,CUST1402,1/31/2023,Bill Payment,68862.85,30,SME,24401.22,Nakuru,Bank Teller
TXN10463,CUST8492,9/14/2023,Bill Payment,527,55,Retail,322264.98,Eldoret,Mobile Banking
TXN10464,CUST9426,8/10/2023,Bill Payment,99874.05,21,SME,278016.3,Eldoret,ATM
TXN10465,CUST8958,8/22/2023,Loan Payment,83749.91,36,Retail,218327.84,Nakuru,Bank Teller
TXN10466,CUST5555,4/12/2023,Bill Payment,83042.62,35,Retail,4517.85,Nairobi,Online
TXN10467,CUST4463,1/7/2023,Fund Transfer,7501.94,23,Retail,60980.85,Nairobi,ATM
TXN10468,CUST5317,3/28/2023,Loan Payment,24627.35,68,Corporate,247155.88,Mombasa,ATM
TXN10469,CUST6344,5/15/2023,Bill Payment,37919.3,62,SME,463541.2,Mombasa,Mobile Banking
TXN10470,CUST2521,1/12/2023,Bill Payment,45804.16,63,Retail,173639.85,Kisumu,Online
TXN10471,CUST4000,2/5/2023,Fund Transfer,64846.71,50,SME,350203,Eldoret,Online
TXN10472,CUST2114,8/27/2023,Bill Payment,76263.64,51,SME,150182.81,Kisumu,Bank Teller
TXN10473,CUST2814,12/1/2023,Fund Transfer,67129.24,38,Retail,79519.88,Nairobi,ATM
TXN10474,CUST7923,4/24/2023,Loan Payment,13155.62,50,Retail,178496.38,Mombasa,Online
TXN10475,CUST1399,8/20/2023,Bill Payment,15281.49,33,SME,458140.91,Eldoret,ATM
TXN10476,CUST8756,1/4/2023,Bill Payment,40337.91,68,SME,498943.55,Mombasa,ATM
TXN10477,CUST6356,1/20/2023,Deposit,41716.23,38,SME,56372.33,Eldoret,Bank Teller
TXN10478,CUST9824,12/15/2023,Fund Transfer,82828.22,68,SME,1918.07,Eldoret,Mobile Banking
TXN10479,CUST4143,10/24/2023,Withdrawal,40841.09,31,SME,35958.23,Kisumu,Online
TXN10480,CUST6809,2/23/2023,Bill Payment,59617.31,56,Retail,205493.99,Mombasa,Bank Teller
TXN10481,CUST8792,1/8/2023,Fund Transfer,60968.09,27,Corporate,61025.61,Mombasa,ATM
TXN10482,CUST6852,11/19/2023,Bill Payment,22028.61,41,Retail,70629.29,Nakuru,ATM
TXN10483,CUST5350,12/8/2023,Bill Payment,61174.63,22,Retail,329666.35,Eldoret,ATM
TXN10484,CUST6425,3/1/2023,Withdrawal,22952.53,40,Corporate,411133.5,Kisumu,Bank Teller
TXN10485,CUST4501,2/19/2023,Fund Transfer,57910.64,27,Retail,143365.9,Nairobi,ATM
TXN10486,CUST8913,9/21/2023,Withdrawal,96033.49,18,Corporate,346751.64,Nairobi,Bank Teller
TXN10487,CUST1211,10/22/2023,Deposit,86409.13,38,Corporate,89305.73,Kisumu,Bank Teller
TXN10488,CUST1850,6/27/2023,Deposit,66561.14,66,Corporate,393104.39,Nairobi,Online
TXN10489,CUST8065,6/15/2023,Deposit,18073.26,59,SME,303519.81,Eldoret,Mobile Banking
TXN10490,CUST6094,8/5/2023,Bill Payment,75246.81,21,Corporate,404147.98,Eldoret,Online
TXN10491,CUST6322,1/17/2023,Withdrawal,74515.6,37,Retail,141993.3,Nakuru,ATM
TXN10492,CUST8900,2/9/2023,Fund Transfer,11886.47,53,Corporate,8054.85,Nairobi,Mobile Banking
TXN10493,CUST5068,8/19/2023,Deposit,72055.13,43,Corporate,390390.01,Eldoret,Online
TXN10494,CUST7537,11/27/2023,Loan Payment,26216.66,64,Corporate,29748.38,Mombasa,Mobile Banking
TXN10495,CUST3292,4/7/2023,Withdrawal,41579.62,31,SME,31048.96,Eldoret,Bank Teller
TXN10496,CUST5287,2/7/2023,Loan Payment,6032.9,46,Retail,489350.07,Kisumu,ATM
TXN10497,CUST1723,5/26/2023,Fund Transfer,74537.78,48,Corporate,128889.38,Eldoret,Mobile Banking
TXN10498,CUST1902,5/26/2023,Withdrawal,33673.41,32,Retail,245700.81,Mombasa,ATM
TXN10499,CUST6172,11/2/2023,Loan Payment,32380.35,36,Retail,149223.25,Eldoret,Online
